,epoch,reconstruction_err,DA_MAE,DA_ratio_improve_MAE,time_DA(s),time_epoch(s)
0,0,15437.861328125,NO_CALC,NO_CALC,NO_CALC,1.6254711151123047
1,1,11829.66015625,NO_CALC,NO_CALC,NO_CALC,1.4512252807617188
2,2,9212.328369140625,NO_CALC,NO_CALC,NO_CALC,1.6209073066711426
3,3,7333.6719970703125,NO_CALC,NO_CALC,NO_CALC,1.7248351573944092
4,4,6035.917236328125,NO_CALC,NO_CALC,NO_CALC,1.4549157619476318
5,5,5202.6275634765625,NO_CALC,NO_CALC,NO_CALC,1.4490900039672852
6,6,4937.45556640625,NO_CALC,NO_CALC,NO_CALC,1.4638559818267822
7,7,4762.127685546875,NO_CALC,NO_CALC,NO_CALC,1.5512664318084717
8,8,4539.2979736328125,NO_CALC,NO_CALC,NO_CALC,1.4786648750305176
9,9,4350.3233642578125,NO_CALC,NO_CALC,NO_CALC,1.3996267318725586
10,10,4220.1695556640625,NO_CALC,NO_CALC,NO_CALC,1.4106347560882568
11,11,4136.035888671875,NO_CALC,NO_CALC,NO_CALC,1.365147590637207
12,12,4066.6856689453125,NO_CALC,NO_CALC,NO_CALC,1.4056222438812256
13,13,3994.869873046875,NO_CALC,NO_CALC,NO_CALC,1.3833856582641602
14,14,3920.4381713867188,NO_CALC,NO_CALC,NO_CALC,1.44313645362854
15,15,3859.8121337890625,NO_CALC,NO_CALC,NO_CALC,1.4043233394622803
16,16,3801.6270751953125,NO_CALC,NO_CALC,NO_CALC,1.4269282817840576
17,17,3745.700439453125,NO_CALC,NO_CALC,NO_CALC,1.405247449874878
18,18,3691.9730834960938,NO_CALC,NO_CALC,NO_CALC,1.5479309558868408
19,19,3640.5074462890625,NO_CALC,NO_CALC,NO_CALC,1.4154725074768066
20,20,3591.1227416992188,NO_CALC,NO_CALC,NO_CALC,1.386129379272461
21,21,3542.3565673828125,NO_CALC,NO_CALC,NO_CALC,1.3892221450805664
22,22,3495.2185668945312,NO_CALC,NO_CALC,NO_CALC,1.4261195659637451
23,23,3447.1417236328125,NO_CALC,NO_CALC,NO_CALC,1.4259679317474365
24,24,3400.6632690429688,NO_CALC,NO_CALC,NO_CALC,1.374770164489746
25,25,3354.822509765625,NO_CALC,NO_CALC,NO_CALC,1.4176347255706787
26,26,3311.009765625,NO_CALC,NO_CALC,NO_CALC,1.4507672786712646
27,27,3268.0046997070312,NO_CALC,NO_CALC,NO_CALC,1.4071614742279053
28,28,3224.55615234375,NO_CALC,NO_CALC,NO_CALC,1.462350845336914
29,29,3182.6658325195312,NO_CALC,NO_CALC,NO_CALC,1.4312541484832764
30,30,3149.6575927734375,NO_CALC,NO_CALC,NO_CALC,1.664153814315796
31,31,3114.7979736328125,NO_CALC,NO_CALC,NO_CALC,1.4467442035675049
32,32,3078.881591796875,NO_CALC,NO_CALC,NO_CALC,1.4188063144683838
33,33,3041.1548461914062,NO_CALC,NO_CALC,NO_CALC,1.4479625225067139
34,34,2999.9224853515625,NO_CALC,NO_CALC,NO_CALC,1.462418556213379
35,35,2960.5145874023438,NO_CALC,NO_CALC,NO_CALC,1.4347717761993408
36,36,2919.4296875,NO_CALC,NO_CALC,NO_CALC,1.4848508834838867
37,37,2885.7383422851562,NO_CALC,NO_CALC,NO_CALC,1.4388294219970703
38,38,2851.1632080078125,NO_CALC,NO_CALC,NO_CALC,1.3948073387145996
39,39,2816.550048828125,NO_CALC,NO_CALC,NO_CALC,1.4193072319030762
40,40,2783.69580078125,NO_CALC,NO_CALC,NO_CALC,1.479630947113037
41,41,2761.52490234375,NO_CALC,NO_CALC,NO_CALC,1.5740411281585693
42,42,2740.3109741210938,NO_CALC,NO_CALC,NO_CALC,1.4471354484558105
43,43,2717.0464477539062,NO_CALC,NO_CALC,NO_CALC,1.425717830657959
44,44,2683.9744873046875,NO_CALC,NO_CALC,NO_CALC,1.4531574249267578
45,45,2653.7874145507812,NO_CALC,NO_CALC,NO_CALC,1.49405837059021
46,46,2616.1263427734375,NO_CALC,NO_CALC,NO_CALC,1.4144916534423828
47,47,2579.72314453125,NO_CALC,NO_CALC,NO_CALC,1.4441735744476318
48,48,2558.7239379882812,NO_CALC,NO_CALC,NO_CALC,1.5381836891174316
49,49,2535.8831787109375,NO_CALC,NO_CALC,NO_CALC,1.4469170570373535
50,50,2512.0899047851562,NO_CALC,NO_CALC,NO_CALC,1.4577248096466064
51,51,2506.6641235351562,NO_CALC,NO_CALC,NO_CALC,1.4404144287109375
52,52,2468.4381103515625,NO_CALC,NO_CALC,NO_CALC,1.4398369789123535
53,53,2426.4193115234375,NO_CALC,NO_CALC,NO_CALC,1.4519102573394775
54,54,2393.2761840820312,NO_CALC,NO_CALC,NO_CALC,1.599996566772461
55,55,2354.673828125,NO_CALC,NO_CALC,NO_CALC,1.5345821380615234
56,56,2331.551513671875,NO_CALC,NO_CALC,NO_CALC,1.4288463592529297
57,57,2309.1207885742188,NO_CALC,NO_CALC,NO_CALC,1.5215928554534912
58,58,2310.0177001953125,NO_CALC,NO_CALC,NO_CALC,1.4340806007385254
59,59,2309.3395385742188,NO_CALC,NO_CALC,NO_CALC,1.4807987213134766
60,60,2281.4503784179688,NO_CALC,NO_CALC,NO_CALC,1.4816398620605469
61,61,2253.6820678710938,NO_CALC,NO_CALC,NO_CALC,1.4770417213439941
62,62,2227.824462890625,NO_CALC,NO_CALC,NO_CALC,1.416940689086914
63,63,2214.6370239257812,NO_CALC,NO_CALC,NO_CALC,1.431929349899292
64,64,2185.875732421875,NO_CALC,NO_CALC,NO_CALC,1.4768428802490234
65,65,2162.5462036132812,NO_CALC,NO_CALC,NO_CALC,1.4905645847320557
66,66,2143.337158203125,NO_CALC,NO_CALC,NO_CALC,1.4528608322143555
67,67,2136.6152954101562,NO_CALC,NO_CALC,NO_CALC,1.4582998752593994
68,68,2118.2741088867188,NO_CALC,NO_CALC,NO_CALC,1.470806360244751
69,69,2105.376708984375,NO_CALC,NO_CALC,NO_CALC,1.4753165245056152
70,70,2094.300048828125,NO_CALC,NO_CALC,NO_CALC,1.5009167194366455
71,71,2055.2525024414062,NO_CALC,NO_CALC,NO_CALC,1.5447864532470703
72,72,2035.26318359375,NO_CALC,NO_CALC,NO_CALC,1.424257516860962
73,73,2010.2620239257812,NO_CALC,NO_CALC,NO_CALC,1.4263148307800293
74,74,1990.6325988769531,NO_CALC,NO_CALC,NO_CALC,1.4765233993530273
75,75,1976.1940307617188,NO_CALC,NO_CALC,NO_CALC,1.4617130756378174
76,76,1962.6563110351562,NO_CALC,NO_CALC,NO_CALC,1.4433786869049072
77,77,1950.9595336914062,NO_CALC,NO_CALC,NO_CALC,1.537804365158081
78,78,1938.5835571289062,NO_CALC,NO_CALC,NO_CALC,1.455409288406372
79,79,1925.0676574707031,NO_CALC,NO_CALC,NO_CALC,1.470581293106079
80,80,1904.4242553710938,NO_CALC,NO_CALC,NO_CALC,1.560959815979004
81,81,1898.9567260742188,NO_CALC,NO_CALC,NO_CALC,1.4980783462524414
82,82,1890.509033203125,NO_CALC,NO_CALC,NO_CALC,1.4530868530273438
83,83,1870.0949401855469,NO_CALC,NO_CALC,NO_CALC,1.512864351272583
84,84,1860.4622192382812,NO_CALC,NO_CALC,NO_CALC,1.4833111763000488
85,85,1858.4565734863281,NO_CALC,NO_CALC,NO_CALC,1.5477664470672607
86,86,1831.8161926269531,NO_CALC,NO_CALC,NO_CALC,1.513505458831787
87,87,1810.0767822265625,NO_CALC,NO_CALC,NO_CALC,1.4725303649902344
88,88,1791.6703491210938,NO_CALC,NO_CALC,NO_CALC,1.5133512020111084
89,89,1764.1057739257812,NO_CALC,NO_CALC,NO_CALC,1.4609003067016602
90,90,1754.8432922363281,NO_CALC,NO_CALC,NO_CALC,1.4580082893371582
91,91,1754.5688781738281,NO_CALC,NO_CALC,NO_CALC,1.4710021018981934
92,92,1746.6016235351562,NO_CALC,NO_CALC,NO_CALC,1.4804229736328125
93,93,1742.4815368652344,NO_CALC,NO_CALC,NO_CALC,1.513885736465454
94,94,1730.2765808105469,NO_CALC,NO_CALC,NO_CALC,1.5779330730438232
95,95,1712.7244262695312,NO_CALC,NO_CALC,NO_CALC,1.5423107147216797
96,96,1688.8593444824219,NO_CALC,NO_CALC,NO_CALC,1.5106267929077148
97,97,1674.4824829101562,NO_CALC,NO_CALC,NO_CALC,1.509725570678711
98,98,1662.1521301269531,NO_CALC,NO_CALC,NO_CALC,1.4681859016418457
99,99,1670.5364379882812,NO_CALC,NO_CALC,NO_CALC,1.5225110054016113
100,100,1657.94921875,NO_CALC,NO_CALC,NO_CALC,1.551927089691162
101,101,1624.5545349121094,NO_CALC,NO_CALC,NO_CALC,1.4803688526153564
102,102,1621.8232727050781,NO_CALC,NO_CALC,NO_CALC,1.5146889686584473
103,103,1603.0434265136719,NO_CALC,NO_CALC,NO_CALC,1.5160481929779053
104,104,1596.1823425292969,NO_CALC,NO_CALC,NO_CALC,1.467447280883789
105,105,1606.853515625,NO_CALC,NO_CALC,NO_CALC,1.5575177669525146
106,106,1593.3677062988281,NO_CALC,NO_CALC,NO_CALC,1.5227384567260742
107,107,1595.0289916992188,NO_CALC,NO_CALC,NO_CALC,1.5142345428466797
108,108,1558.9322509765625,NO_CALC,NO_CALC,NO_CALC,1.4968125820159912
109,109,1553.9397277832031,NO_CALC,NO_CALC,NO_CALC,1.4609901905059814
110,110,1542.2465209960938,NO_CALC,NO_CALC,NO_CALC,1.5161385536193848
111,111,1556.7062683105469,NO_CALC,NO_CALC,NO_CALC,1.4566142559051514
112,112,1539.9151000976562,NO_CALC,NO_CALC,NO_CALC,1.4726085662841797
113,113,1506.3447875976562,NO_CALC,NO_CALC,NO_CALC,1.5067360401153564
114,114,1516.8113403320312,NO_CALC,NO_CALC,NO_CALC,1.5100178718566895
