,epoch,reconstruction_err,DA_MAE,DA_ratio_improve_MAE,time_DA(s),time_epoch(s)
0,0,21524.44580078125,NO_CALC,NO_CALC,NO_CALC,1.6365389823913574
1,1,14118.0546875,NO_CALC,NO_CALC,NO_CALC,1.4470417499542236
2,2,9877.02783203125,NO_CALC,NO_CALC,NO_CALC,1.5193805694580078
3,3,6965.649169921875,NO_CALC,NO_CALC,NO_CALC,1.6844053268432617
4,4,5009.0638427734375,NO_CALC,NO_CALC,NO_CALC,1.4155442714691162
5,5,3893.3474731445312,NO_CALC,NO_CALC,NO_CALC,1.3977720737457275
6,6,3475.8688354492188,NO_CALC,NO_CALC,NO_CALC,1.4190325736999512
7,7,3313.9835205078125,NO_CALC,NO_CALC,NO_CALC,1.3910338878631592
8,8,3093.052490234375,NO_CALC,NO_CALC,NO_CALC,1.5424752235412598
9,9,2833.3614501953125,NO_CALC,NO_CALC,NO_CALC,1.4207158088684082
10,10,2624.654541015625,NO_CALC,NO_CALC,NO_CALC,1.4000988006591797
11,11,2483.7665405273438,NO_CALC,NO_CALC,NO_CALC,1.4342734813690186
12,12,2387.1139526367188,NO_CALC,NO_CALC,NO_CALC,1.4506011009216309
13,13,2315.4911499023438,NO_CALC,NO_CALC,NO_CALC,1.4166710376739502
14,14,2254.7891235351562,NO_CALC,NO_CALC,NO_CALC,1.5280206203460693
15,15,2197.9169921875,NO_CALC,NO_CALC,NO_CALC,1.4152131080627441
16,16,2143.8905639648438,NO_CALC,NO_CALC,NO_CALC,1.432654857635498
17,17,2090.3021545410156,NO_CALC,NO_CALC,NO_CALC,1.4156441688537598
18,18,2039.3760986328125,NO_CALC,NO_CALC,NO_CALC,1.4384222030639648
19,19,1993.6534118652344,NO_CALC,NO_CALC,NO_CALC,1.4062564373016357
20,20,1952.6477355957031,NO_CALC,NO_CALC,NO_CALC,1.4351310729980469
21,21,1912.4055480957031,NO_CALC,NO_CALC,NO_CALC,1.426732063293457
22,22,1872.0696716308594,NO_CALC,NO_CALC,NO_CALC,1.4349923133850098
23,23,1833.3410034179688,NO_CALC,NO_CALC,NO_CALC,1.3826911449432373
24,24,1795.7188415527344,NO_CALC,NO_CALC,NO_CALC,1.425086498260498
25,25,1760.09423828125,NO_CALC,NO_CALC,NO_CALC,1.3885629177093506
26,26,1725.3118896484375,NO_CALC,NO_CALC,NO_CALC,1.4271373748779297
27,27,1690.9624633789062,NO_CALC,NO_CALC,NO_CALC,1.4470407962799072
28,28,1657.5832824707031,NO_CALC,NO_CALC,NO_CALC,1.4218065738677979
29,29,1624.9825439453125,NO_CALC,NO_CALC,NO_CALC,1.555837869644165
30,30,1593.0198059082031,NO_CALC,NO_CALC,NO_CALC,1.794907808303833
31,31,1559.6763305664062,NO_CALC,NO_CALC,NO_CALC,1.468210220336914
32,32,1526.8492431640625,NO_CALC,NO_CALC,NO_CALC,1.562126874923706
33,33,1495.1234436035156,NO_CALC,NO_CALC,NO_CALC,1.4602131843566895
34,34,1465.3709106445312,NO_CALC,NO_CALC,NO_CALC,1.4340276718139648
35,35,1438.8782348632812,NO_CALC,NO_CALC,NO_CALC,1.5103166103363037
36,36,1414.6136474609375,NO_CALC,NO_CALC,NO_CALC,1.486328125
37,37,1386.6388854980469,NO_CALC,NO_CALC,NO_CALC,1.5950672626495361
38,38,1356.929931640625,NO_CALC,NO_CALC,NO_CALC,2.4004480838775635
39,39,1327.8905639648438,NO_CALC,NO_CALC,NO_CALC,2.8899013996124268
40,40,1300.6136779785156,NO_CALC,NO_CALC,NO_CALC,2.597594976425171
41,41,1274.1931762695312,NO_CALC,NO_CALC,NO_CALC,2.6313233375549316
42,42,1247.7731018066406,NO_CALC,NO_CALC,NO_CALC,2.675799608230591
43,43,1220.8135070800781,NO_CALC,NO_CALC,NO_CALC,2.6555633544921875
44,44,1194.076904296875,NO_CALC,NO_CALC,NO_CALC,2.728410005569458
45,45,1168.3207397460938,NO_CALC,NO_CALC,NO_CALC,2.701706647872925
46,46,1144.5505981445312,NO_CALC,NO_CALC,NO_CALC,2.638181447982788
47,47,1120.5637817382812,NO_CALC,NO_CALC,NO_CALC,2.652596950531006
48,48,1098.0116882324219,NO_CALC,NO_CALC,NO_CALC,2.9995548725128174
49,49,1075.8487854003906,NO_CALC,NO_CALC,NO_CALC,2.6232616901397705
50,50,1055.1956024169922,NO_CALC,NO_CALC,NO_CALC,2.726350784301758
51,51,1033.7152404785156,NO_CALC,NO_CALC,NO_CALC,2.5041818618774414
52,52,1011.7631530761719,NO_CALC,NO_CALC,NO_CALC,2.5830812454223633
53,53,992.497802734375,NO_CALC,NO_CALC,NO_CALC,2.637136697769165
54,54,975.6685943603516,NO_CALC,NO_CALC,NO_CALC,2.6621766090393066
55,55,953.178955078125,NO_CALC,NO_CALC,NO_CALC,2.704735517501831
56,56,931.9160614013672,NO_CALC,NO_CALC,NO_CALC,2.6106550693511963
57,57,914.7290802001953,NO_CALC,NO_CALC,NO_CALC,2.581254243850708
58,58,898.7310180664062,NO_CALC,NO_CALC,NO_CALC,2.6887218952178955
59,59,881.2464447021484,NO_CALC,NO_CALC,NO_CALC,2.7189812660217285
60,60,860.1209106445312,NO_CALC,NO_CALC,NO_CALC,2.613595485687256
61,61,847.1683959960938,NO_CALC,NO_CALC,NO_CALC,2.5423583984375
62,62,830.3713836669922,NO_CALC,NO_CALC,NO_CALC,2.7100043296813965
63,63,812.8169250488281,NO_CALC,NO_CALC,NO_CALC,2.737597703933716
64,64,797.3756713867188,NO_CALC,NO_CALC,NO_CALC,2.8357229232788086
65,65,786.2396545410156,NO_CALC,NO_CALC,NO_CALC,2.587982416152954
66,66,769.2586822509766,NO_CALC,NO_CALC,NO_CALC,2.554612636566162
67,67,750.2128448486328,NO_CALC,NO_CALC,NO_CALC,2.646141767501831
68,68,731.4750518798828,NO_CALC,NO_CALC,NO_CALC,2.669623851776123
69,69,718.0875396728516,NO_CALC,NO_CALC,NO_CALC,2.755790948867798
70,70,705.03564453125,NO_CALC,NO_CALC,NO_CALC,2.5230565071105957
71,71,691.3150177001953,NO_CALC,NO_CALC,NO_CALC,2.7510054111480713
72,72,676.0761413574219,NO_CALC,NO_CALC,NO_CALC,2.726227045059204
73,73,664.5688323974609,NO_CALC,NO_CALC,NO_CALC,2.7122631072998047
74,74,653.8423614501953,NO_CALC,NO_CALC,NO_CALC,2.7212350368499756
75,75,647.1093444824219,NO_CALC,NO_CALC,NO_CALC,2.5775701999664307
76,76,631.9022827148438,NO_CALC,NO_CALC,NO_CALC,2.5888655185699463
77,77,615.5461883544922,NO_CALC,NO_CALC,NO_CALC,2.6157426834106445
78,78,603.7474060058594,NO_CALC,NO_CALC,NO_CALC,2.709869623184204
79,79,590.7500915527344,NO_CALC,NO_CALC,NO_CALC,2.824209451675415
80,80,577.5875396728516,NO_CALC,NO_CALC,NO_CALC,2.7016842365264893
81,81,566.9431915283203,NO_CALC,NO_CALC,NO_CALC,2.555696725845337
82,82,555.5166168212891,NO_CALC,NO_CALC,NO_CALC,2.6204147338867188
83,83,542.6039123535156,NO_CALC,NO_CALC,NO_CALC,2.9307405948638916
